Loca Time: 2017-6-5 21:49:14, Ticker Id: 1002, Field: 67, Price: 49.55
Loca Time: 2017-6-5 21:49:18, Ticker Id: 1001, Field: 68, Price: 47.4
Loca Time: 2017-6-5 21:49:19, Ticker Id: 1001, Field: 66, Price: 47.39
Loca Time: 2017-6-5 21:49:19, Ticker Id: 1001, Field: 67, Price: 47.41
Loca Time: 2017-6-5 21:49:19, Ticker Id: 1002, Field: 66, Price: 49.55
Loca Time: 2017-6-5 21:49:19, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:49:23, Ticker Id: 1002, Field: 67, Price: 49.58
Loca Time: 2017-6-5 21:49:24, Ticker Id: 1001, Field: 66, Price: 47.4
Loca Time: 2017-6-5 21:49:24, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:49:29, Ticker Id: 1001, Field: 66, Price: 47.39
Loca Time: 2017-6-5 21:49:29, Ticker Id: 1002, Field: 66, Price: 49.54
Loca Time: 2017-6-5 21:49:33, Ticker Id: 1001, Field: 68, Price: 47.41
Loca Time: 2017-6-5 21:49:33, Ticker Id: 1001, Field: 66, Price: 47.38
Loca Time: 2017-6-5 21:49:33, Ticker Id: 1001, Field: 67, Price: 47.4
Loca Time: 2017-6-5 21:49:33, Ticker Id: 1002, Field: 67, Price: 49.56
Loca Time: 2017-6-5 21:49:35, Ticker Id: 1001, Field: 68, Price: 47.4
Loca Time: 2017-6-5 21:49:37, Ticker Id: 1002, Field: 67, Price: 49.57
Loca Time: 2017-6-5 21:49:39, Ticker Id: 1001, Field: 66, Price: 47.39
Loca Time: 2017-6-5 21:49:39, Ticker Id: 1001, Field: 67, Price: 47.41
Loca Time: 2017-6-5 21:49:42, Ticker Id: 1001, Field: 68, Price: 47.44
Loca Time: 2017-6-5 21:49:43, Ticker Id: 1001, Field: 66, Price: 47.43
Loca Time: 2017-6-5 21:49:43, Ticker Id: 1001, Field: 67, Price: 47.45
Loca Time: 2017-6-5 21:49:43, Ticker Id: 1002, Field: 66, Price: 49.59
Loca Time: 2017-6-5 21:49:43, Ticker Id: 1002, Field: 67, Price: 49.61
Loca Time: 2017-6-5 21:49:48, Ticker Id: 1001, Field: 67, Price: 47.44
Loca Time: 2017-6-5 21:49:48, Ticker Id: 1002, Field: 66, Price: 49.58
Loca Time: 2017-6-5 21:49:54, Ticker Id: 1001, Field: 67, Price: 47.45
Loca Time: 2017-6-5 21:49:54, Ticker Id: 1002, Field: 66, Price: 49.59
Loca Time: 2017-6-5 21:49:57, Ticker Id: 1001, Field: 68, Price: 47.42
